frame,direction,raw_payload_len,expected_utf16_len,expected_message,ciphertext_hex
7166,C2S,22,12,KX01_A,c781f6f1c05cb07846f236d01fa2e38e3b0002411f6b
7200,C2S,24,14,KX02_AA,d46cbfe5bdbe521ec10acdb83695c9d834baae291faedc28
7250,C2S,26,16,KX03_AAA,5e766eb51a6fe2a03de8871738042e1701cf2a18a7d637b0cebb
7268,C2S,28,18,KX04_AAAA,eddeac320059190134501792cccb4829bdecfc061ed3b03cb27a8c85
7285,C2S,36,26,KX08_AAAAAAAA,c21face22d8eda22ee2536f70dac4c73e6065be103760baf46752a1c0863cadaa3842813
7384,C2S,50,40,KX15_AAAAAAAAAAAAAAA,8c9c8e234c264f512f0790d1a47617595e00d4131b0205d41f9f835233938610a351ce27958a703f881cfffdc7b7142edb5c
7409,C2S,52,42,KX16_AAAAAAAAAAAAAAAA,7d79edd3492d40c07cecaeb3628bc8be6cdd3d11967bd11c21621172bcb6f4f0a3b319fe3548639f343ba899af98ddf54c963d10
7454,C2S,54,44,KX17_AAAAAAAAAAAAAAAAA,9abfbe89127f99db505b3e3246a23bfe85ca7fd749ff49773c2a3bb646c06c6d6a9273485e9c3693ac298c98d8b67eb7fd60d68bf9fe
7488,C2S,82,72,KX31_AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,56455915706be84461a5ea0e4917faf5fde14646c10486be2a8e094f360e6808ca09830f2cab019a6b8dd709512c4744da07024373ac04f93a09c1d4d6f8acd3bcc0b3feb676833aa88d39fa897bbcd83a88
7517,C2S,84,74,KX32_AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9accadbba5b7144756c499868dc0aa46fb3cf3e5eb2b7aa7ede86fb4387a6d0c7bcaabe8041df0e53332d40b51970aabf7ffe5ae74724640c802cfc36f2aadd12bdbd2cce58bd5bfd4d90425d3c7913fce8af1c5
7536,C2S,86,76,KX33_AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,fe068ac0ab8d2efebb6f38e14d3e18f04aabbd5b6636ec1cb6220fbe2ead15a09a9c73ec8f04879c0539b438dedd599078965d25d96081d6d8780166a727b47582fedf49085f8a40ef99e561e67cb1e411b109b4ed2b
7577,C2S,62,52,KX_REPEAT_AAAAAAAAAAAAAAAA,7acf09abfd954c5ddfb52d071a4c076eba1c34b0cb73892889a817571e7789900bd9dde9144800081368afb39f2ffa5d622b480bb929991288a662f28a9e
7603,C2S,62,52,KX_REPEAT_AAAAAAAAAAAAAAAA,312881b7916326df809443ceb67e09770985956db92e332b0e1fe9af90fe08acced263834cff3167d1ae62a2aa87d5824262da2e61a7e2f5aee8202eb8ba
7629,C2S,56,46,KX_ALT_ABABABABABABABAB,3672986920513597d9534a676a74dfb0df1d83616d8b546088417ea72944d2fbe303ebd1674e6b09fbfd3c2b908daca32148b0455789da2b
7655,C2S,44,34,KX_NUM_0123456789,d8f333e42bab8021353ddec7080fe44115f33043b3e4d88cf2d2cc2a80783f25ce54d725c52143e1e64d8745
