candidate_id,source_type,source_name,url_or_local_ref,terms_matched,relevance,classification,is_new_variant,action_taken,result,notes
P609-001,local_bridge_artifacts,Pass600-Pass608 summaries and decisions,"artifacts/pass600_*, pass601_*, pass604_*, pass607_*, pass608_*",SM_KEY;NewCrypt;XORpass;Blowfish;staticKey;7785;EuroAion;Gamez;Aion4.9,Documents failed oracle branches and public-reference controls.,duplicate_public_reference,false,Reviewed local reports/scripts; used only high-level summaries.,No new transform/key evidence beyond previously tested public variants.,"Existing bridge artifacts include some old unsafe trial CSVs, but Pass609 does not copy packet-derived rows into new artifacts."
P609-002,local_private_artifacts,Pass601 source truthing,C:\AionTools\aion_decoder_agent\outbox\source_truthing\pass601_source_candidates.md,AionGameCrypter;NewCrypt;Crypt.java;aion-crypto.js;WorldEncryption.cpp;staticKey,Prior source-level comparison for known public crypto branches.,duplicate_public_reference,false,Read prior classification and variant result summary.,aion-proxy shifted offset variant was already tested in Pass601 with 0 exact matches.,No private source archive or raw packet data committed.
P609-003,public_repo,Rydiik/Aion-Server-4.6 PacketSamurai AionGameCrypter.java,https://github.com/Rydiik/Aion-Server-4.6/blob/master/Tools/PacketSamurai/src/com/aionemu/packetsamurai/crypt/AionGameCrypter.java,SM_KEY;staticKey;clientPacketkey;serverPacketkey;i&63;i&7;A1 6C 54 87;0x3FF2CCCF;0xCD92E4DD,4.6-labelled public PacketSamurai game-channel crypto source.,duplicate_public_reference,false,Cloned public repo to thread workspace and inspected actual source.,"Formula is public rolling XOR: staticKey[i&63] XOR key[i&7] XOR previous cipher byte, key += raw length.",Same family as Pass600/Pass601/Pass605 public controls; not EuroAion custom evidence.
P609-004,public_repo,Rydiik/Aion-Server-4.6 PacketSamurai AionGame4_5_0_15Crypter.java,https://github.com/Rydiik/Aion-Server-4.6/blob/master/Tools/PacketSamurai/src/com/aionemu/packetsamurai/crypt/AionGame4_5_0_15Crypter.java,decodeOpcodec;0xDD;0xCC;static server code 0x46;static client code 0x65,Version-specific opcode wrapper for Game_4.6.x PacketSamurai protocol.,duplicate_public_reference,false,Inspected source and compared against public AionGameCrypter branch.,Only opcode/static packet-code constants differ; payload transform remains public AionGameCrypter.,No custom EuroAion key schedule or body framing rule found.
P609-005,public_repo,Rydiik/Aion-Server-4.6 PacketSamurai NewCrypt.java,https://github.com/Rydiik/Aion-Server-4.6/blob/master/Tools/PacketSamurai/src/com/aionemu/packetsamurai/crypt/NewCrypt.java,NewCrypt;BlowfishEngine;encXORPass;decXORPass;checksum,PacketSamurai/login-style Blowfish/XORpass helper.,duplicate_public_reference,false,Inspected actual source.,Matches public NewCrypt/XORpass family already tested; no EuroAion 7785 custom transform.,"Contains block padding/checksum logic, not a new non-ECB/body-only game-channel formula."
P609-006,public_repo,Rydiik/Aion-Server-4.6 AL-Login CryptEngine.java,https://github.com/Rydiik/Aion-Server-4.6/blob/master/AL-Login/src/com/aionemu/loginserver/network/ncrypt/CryptEngine.java,Blowfish;encXORPass;checksum;loginserver;ncrypt,"Login-channel crypto implementation, not world/game port 7785 transform.",irrelevant,false,Inspected source path and package context.,Irrelevant server login crypto; not a game-channel 7785 transform candidate.,No decoder test generated.
P609-007,public_repo_prior,Aion-unique Crypt.java / PacketSamurai crypter,https://github.com/Aion-server/Aion-unique,Crypt.java;staticKey;0xCD92E451;0x3FF2CC87;A1 6C 54 87,Canonical public AionEmu staticKey rolling XOR implementation.,duplicate_public_reference,false,Relied on prior Pass601 truthing; current direct GitHub repo guess under Aion-unique name unavailable.,"Duplicate public reference, no new transform.",No additional reachable distinct source found in this pass.
P609-008,public_repo_prior,aion-proxy/aion-crypto.js,https://github.com/aion-proxy/aion-crypto/blob/4ef5dba79fd4c5e8c7fa908acb914aef1c2501e0/aion-crypto.js,staticKey;offset 2;key += length-2;0xcd92e4d9;0x3ff2ccdf;SM_KEY,Later-version shifted-offset public-family crypto source.,duplicate_public_reference,false,Reviewed prior Pass601 result; direct guessed aion-proxy repository URL was unavailable in this pass.,Only shifted-offset variant was already tested in Pass601 and recovered 0 exact oracle matches.,No new Pass609 decoder variant warranted.
P609-009,public_repo_prior,WorldEncryption.cpp,https://github.com/sylar501/aion-/blob/7307876370b733a287197fb08fe8d7ed80c47388/src/worldserver/network/crypto/WorldEncryption.cpp,WorldEncryption;staticKey;client key;server key;previous-byte chaining,Native C++ implementation of the public rolling XOR family.,duplicate_public_reference,false,Reviewed prior Pass601 truthing and acquisition inventory.,"Duplicate public reference, no EuroAion custom evidence.",No decoder test generated.
P609-010,public_repo_prior,AION-SERVER ClientCrypt.java / AionGermany / AionLightning-4.9,Saltman155/AION-SERVER; AionGermany/aion-germany; YggDrazil/AionLightning-4.9,ClientCrypt;AionGameCrypter;PacketSamurai;staticKey;SM_KEY,Public fork family with minor packet-code/version constants.,duplicate_public_reference,false,Reviewed acquisition inventory and checked public repo availability where possible.,No distinct EuroAion/custom transform found; likely same public lineage.,"Useful only as public controls, not new evidence."
P609-011,local_binary_static_reports,Pass604 Codex binary deep static + Pass598 crypto candidate review,artifacts/pass604_codex_binary_deep_static.*; outbox/pass598_crypto_candidate_review.*,.aion1;staticKey;false key constants;i&0x3f;i&0x7;SM_KEY;VM handler;virtualized,File-backed binary evidence gate for EuroAion/Destiny targets and public controls.,protected_binary_only,false,Rechecked existing static reports; no broad binary rescan run.,EuroAion/Destiny have no visible staticKey/false-key/SM_KEY co-occurrence; public controls in Aion4.9/Gamez only.,Protected .aion1 remains the static bottleneck; no concrete handler/dataflow isolated in Pass609.
P609-012,local_private_handover,Old 7785 VM/protected-code handover,C:\AionTools\aion_decoder_agent\old_chat_handovers\euroaion_7785_global_handover_20260710.md,.aion1;VM context;0x114731E0;0x114731F5;0x0A;0x06;RSI;RBX;packet buffer,Best remaining file-backed static lead: protected VM context to packet buffer/length write bridge.,protected_binary_only,false,Read prior handover and summarized only addresses/edge names already documented.,Promising but not sufficient: no proven bridge from RSI/RBX VM context to packet buffer/length write or transform handler.,"Best next static path is bounded symbolic emulation of .aion1 VM handler edges, not more packet-only crypto tests."
P609-013,public_web_search,EuroAion-specific source/decompile searches,"web/GitHub searches for EuroAion packet encryption, Game.dll decrypt, SM_KEY, 7785, aion.bin, .aion1, Themida, source, emulator, launcher source",EuroAion packet encryption;EuroAion Game.dll decrypt;EuroAion SM_KEY;EuroAion 7785;EuroAion Themida;EuroAion source,Direct target-source/decompile evidence search.,unavailable,false,Ran targeted web searches and repository availability checks; inspected returned public code where available.,No public EuroAion custom packet transform source/decompile found.,Search results were mostly unrelated AION acronym noise or public-reference Aion forks.
