frame,direction,pay_len,ts_relative,is_oracle_c2s,oracle_label
4094,S2C,11,0.000,False,
4098,C2S,24,9.443,False,
4100,C2S,11,19.457,False,
4101,S2C,92,19.585,False,
4103,S2C,9,29.664,False,
4104,C2S,31,29.719,False,
4105,S2C,15,39.839,False,
4106,C2S,72,39.868,False,
4107,S2C,1460,51.620,False,
4108,S2C,122,51.621,False,
4110,C2S,11,61.068,False,
4111,S2C,36,71.190,False,
4113,S2C,1272,116.187,False,
4115,C2S,9,535.013,False,
4116,S2C,9,545.287,False,
4118,C2S,7,1485.995,False,
4119,S2C,11,1499.369,False,
4121,C2S,11,1502.532,False,
4122,S2C,31,1514.429,False,
4124,S2C,1460,1554.410,False,
4126,S2C,1271,1554.507,False,
4128,S2C,1460,1554.701,False,
4130,S2C,1460,1554.777,False,
4132,S2C,1460,1554.902,False,
4134,S2C,1460,1555.027,False,
4136,S2C,936,1555.156,False,
4138,S2C,1460,1555.277,False,
4140,S2C,1460,1555.352,False,
4142,S2C,1460,1555.478,False,
4144,C2S,7,1568.020,False,
4145,S2C,1460,1568.627,False,
4146,S2C,1460,1568.631,False,
4147,S2C,1460,1568.631,False,
4148,S2C,1460,1568.632,False,
4149,S2C,1460,1568.633,False,
4150,S2C,1460,1568.633,False,
4151,S2C,1460,1568.634,False,
4152,S2C,1460,1568.635,False,
4153,S2C,1460,1568.635,False,
4154,S2C,1460,1568.636,False,
4156,S2C,1460,1568.721,False,
4157,S2C,1460,1568.722,False,
4158,S2C,1460,1568.723,False,
4159,S2C,1460,1568.723,False,
4160,S2C,1460,1568.724,False,
4161,S2C,1460,1568.725,False,
4162,S2C,1460,1568.726,False,
4163,S2C,1460,1568.726,False,
4164,S2C,1460,1568.727,False,
4165,S2C,1460,1568.728,False,
4167,S2C,1460,1579.250,False,
4169,S2C,1460,1579.352,False,
4171,S2C,1460,1579.477,False,
4173,S2C,1460,1579.602,False,
4175,S2C,1460,1579.727,False,
4177,S2C,1460,1579.852,False,
4179,S2C,1460,1580.007,False,
4181,S2C,1460,1580.103,False,
4183,S2C,1460,1580.227,False,
4185,S2C,1460,1580.352,False,
4187,S2C,1460,1580.477,False,
4189,S2C,1460,1580.602,False,
4191,S2C,1460,1580.727,False,
4193,S2C,1460,1580.852,False,
4195,S2C,1460,1580.979,False,
4197,S2C,1460,1581.102,False,
4199,S2C,1460,1581.227,False,
4201,S2C,1460,1581.352,False,
4203,S2C,1460,1581.477,False,
4205,S2C,1460,1581.602,False,
4207,S2C,1460,1581.727,False,
4209,S2C,1460,1581.852,False,
4211,S2C,1460,1581.978,False,
4213,S2C,1460,1582.102,False,
4215,S2C,1460,1582.227,False,
4217,S2C,1460,1582.352,False,
4219,S2C,1460,1582.477,False,
4221,S2C,1460,1582.602,False,
4223,S2C,1460,1582.727,False,
4225,S2C,1460,1582.852,False,
4227,S2C,1460,1582.983,False,
4229,S2C,1460,1583.102,False,
4231,S2C,1460,1583.227,False,
4233,S2C,1460,1583.351,False,
4235,S2C,1460,1584.424,False,
4236,S2C,1460,1584.425,False,
4237,S2C,1460,1584.425,False,
4238,S2C,1460,1584.426,False,
4239,S2C,1460,1584.427,False,
4240,S2C,1460,1584.427,False,
4242,S2C,1460,1589.390,False,
4244,S2C,1460,1589.700,False,
4245,S2C,1460,1589.703,False,
4247,S2C,1460,1589.824,False,
4249,S2C,1460,1589.948,False,
4251,S2C,1460,1590.073,False,
4253,S2C,1460,1590.201,False,
4255,S2C,1460,1590.323,False,
4257,S2C,1460,1590.448,False,
4259,S2C,1460,1590.573,False,
4261,S2C,1460,1590.698,False,
4263,S2C,1460,1590.823,False,
4265,S2C,1460,1590.948,False,
4267,S2C,1460,1591.074,False,
4269,S2C,1460,1591.198,False,
4271,S2C,1460,1591.323,False,
4273,S2C,1429,1591.448,False,
4275,C2S,8,1678.395,False,
4276,S2C,8,1690.419,False,
4277,C2S,15,1690.477,False,
4278,S2C,8,1700.533,False,
4280,S2C,14,1720.625,False,
4282,C2S,11,2049.531,False,
4283,S2C,40,2061.267,False,
4284,C2S,22,2061.326,False,
4285,S2C,40,2071.043,False,
4287,C2S,7,2091.818,False,
4288,S2C,15,2092.898,False,
4290,S2C,39,2101.135,False,
4292,C2S,7,3028.304,False,
4293,S2C,314,3038.110,False,
4295,S2C,1460,3038.801,False,
4296,S2C,99,3038.807,False,
4298,S2C,1460,3038.948,False,
4300,S2C,14,3054.632,False,
4302,S2C,325,3542.013,False,
4304,S2C,643,3542.160,False,
4306,S2C,14,3556.752,False,
4308,C2S,8,4423.713,False,
4309,S2C,8,4435.790,False,
4311,C2S,11,4458.856,False,
4312,S2C,15,4469.881,False,
4314,C2S,21,5278.738,False,
4316,C2S,17,5492.488,False,
4318,S2C,75,5503.716,False,
4320,C2S,21,5509.576,False,
4322,C2S,11,5561.944,False,
4324,S2C,15,5570.899,False,
4326,C2S,11,6526.233,False,
4327,S2C,15,6537.594,False,
4329,C2S,28,6564.897,True,KXSEQ_001
4330,S2C,14,6574.409,False,
4332,S2C,46,6574.522,False,
4334,C2S,12,6575.901,False,
4335,S2C,1460,6585.358,False,
4337,S2C,695,6626.125,False,
4339,C2S,11,7536.889,False,
4340,S2C,15,7550.021,False,
4342,S2C,21,8534.207,False,
4344,S2C,51,8534.374,False,
4349,S2C,79,12549.785,False,
4351,S2C,1110,12551.142,False,
4353,C2S,32,13005.857,True,KXSEQ_002_A
4354,S2C,39,13018.492,False,
4356,S2C,21,14573.439,False,
4358,S2C,51,14574.024,False,
4360,C2S,34,17793.919,True,KXSEQ_003_AA
4361,S2C,41,17804.316,False,
4385,S2C,21,20575.222,False,
4387,S2C,51,20575.502,False,
4389,C2S,36,22549.924,True,KXSEQ_004_AAA
4390,S2C,43,22560.047,False,
4392,C2S,11,22560.988,False,
4393,S2C,15,22570.017,False,
4395,S2C,21,26568.301,False,
4397,S2C,51,26568.581,False,
4399,C2S,38,27609.818,True,KXSEQ_005_AAAA
4400,S2C,45,27619.148,False,
4402,C2S,46,32103.893,True,KXSEQ_006_AAAAAAAA
4403,S2C,53,32113.132,False,
4405,S2C,21,32567.729,False,
4407,S2C,51,32568.729,False,
4409,C2S,11,37568.416,False,
4410,S2C,15,37579.526,False,
4412,C2S,62,38318.615,True,KXSEQ_007_AAAAAAAAAAAAAAAA
4413,S2C,69,38328.030,False,
4415,S2C,72,38570.244,False,
4417,C2S,50,43216.237,True,KXSEQ_008_0123456789
4418,S2C,57,43225.509,False,
4420,S2C,72,44573.611,False,
4422,C2S,62,47005.884,True,KXSEQ_009_ABABABABABABABAB
4423,S2C,69,47014.839,False,
4425,S2C,21,50572.034,False,
4427,S2C,51,50572.686,False,
4429,C2S,42,51682.362,True,KXSEQ_010_REPEAT
4430,S2C,49,51693.087,False,
4432,C2S,11,52681.121,False,
4433,S2C,15,52690.164,False,
4435,C2S,42,55184.570,True,KXSEQ_010_REPEAT
4436,S2C,49,55198.628,False,
4438,S2C,23,56520.642,False,
4440,S2C,93,56521.506,False,
4442,S2C,343,56570.309,False,
4444,S2C,88,56570.752,False,
4446,S2C,21,62587.825,False,
4448,S2C,51,62588.048,False,
4450,S2C,31,63591.012,False,
4452,S2C,186,63591.166,False,
4454,C2S,11,67752.069,False,
4455,S2C,15,67764.232,False,
4457,S2C,21,68602.690,False,
4459,S2C,51,68604.261,False,
